City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Sisimiut,GL,2020-01-04 02:04:59,66.94,-53.67,12.45,78,100,4.18
171,Gigmoto,PH,2020-01-04 02:09:37,13.78,124.39,81.21,77,6,22.57
172,Ribeira Grande,PT,2020-01-04 02:09:36,38.52,-28.7,61.02,92,87,14.85
173,Ancud,CL,2020-01-04 02:09:32,-41.87,-73.83,53.6,66,0,11.41
174,Ugoofaaru,MV,2020-01-04 02:09:38,5.67,73.0,82.78,77,97,12.75
175,Monrovia,LR,2020-01-04 02:09:38,6.33,-10.8,69.8,94,20,3.36
176,Arman,RU,2020-01-04 02:09:38,59.7,150.17,23.16,72,76,40.58
177,Hofn,IS,2020-01-04 02:09:38,64.25,-15.21,31.59,65,100,10.87
178,Port Lincoln,AU,2020-01-04 02:09:15,-34.72,135.86,62.53,66,100,13.6
179,Bere,ID,2020-01-04 02:09:38,-8.54,120.44,72.16,96,100,6.53
180,Kruisfontein,ZA,2020-01-04 02:09:38,-34.0,24.73,67.75,93,98,3.53
181,Puerto Carreno,CO,2020-01-04 02:05:37,6.19,-67.49,82.4,69,56,5.59
182,Ostrovnoy,RU,2020-01-04 02:09:39,68.05,39.51,22.91,84,100,27.4
183,Tuatapere,NZ,2020-01-04 02:09:39,-46.13,167.69,54.0,64,53,20.0
184,Mumford,GH,2020-01-04 02:09:39,5.26,-0.76,70.5,45,80,4.85
185,Ikongo,MG,2020-01-04 02:09:39,-21.88,47.44,71.78,97,8,1.19
186,Shuangyang,CN,2020-01-04 02:09:39,25.0,118.61,69.98,58,0,3.2
187,Kupang,ID,2020-01-04 02:09:40,-10.16,123.6,80.6,88,90,3.36
188,Byron Bay,AU,2020-01-04 02:09:40,-28.65,153.62,91.4,58,0,17.22
189,Aklavik,CA,2020-01-04 02:09:40,68.22,-135.01,-18.4,68,90,3.36
190,Zhigansk,RU,2020-01-04 02:09:40,66.77,123.37,-21.48,90,100,15.32
191,Kaitangata,NZ,2020-01-04 02:09:40,-46.28,169.85,50.25,72,92,34.54
192,Hailar,CN,2020-01-04 02:09:41,49.2,119.7,-0.17,96,5,7.11
193,Maralal,KE,2020-01-04 02:09:41,1.1,36.7,61.21,84,100,6.87
194,Chokurdakh,RU,2020-01-04 02:09:16,70.62,147.9,-18.78,97,46,4.81
195,Awbari,LY,2020-01-04 02:09:41,26.59,12.77,40.73,82,0,2.93
196,Rameswaram,IN,2020-01-04 02:09:42,9.28,79.3,80.92,80,1,8.66
197,Marawi,PH,2020-01-04 02:09:42,8.0,124.29,81.0,74,23,5.99
198,Khao Yoi,TH,2020-01-04 02:09:42,13.24,99.82,89.01,73,0,8.97
199,Sao Miguel Do Araguaia,BR,2020-01-04 02:09:42,-13.28,-50.16,73.33,96,100,6.04
200,Nome,US,2020-01-04 02:09:42,30.04,-94.42,57.2,82,1,10.29
201,Hami,CN,2020-01-04 02:09:43,42.84,93.51,19.15,55,0,2.3
202,Namibe,AO,2020-01-04 02:09:43,-15.19,12.15,71.92,96,100,6.53
203,Conde,BR,2020-01-04 02:07:03,-11.81,-37.61,80.62,80,100,8.66
